DailyStep;steps;duration [s];distance [m];calories [kcal];floors [min. high three meter];weekDayIndex
2021-08-30 00:00:00 +0000;16637;21705;11920.0;676;18;2
2021-08-31 00:00:00 +0000;21485;28380;14735.3;835;19;3
2021-09-01 00:00:00 +0000;16996;18552;11484.7;651;17;0
2021-09-02 00:00:00 +0000;16503;20094;11354.2;644;14;0
2021-09-03 00:00:00 +0000;2189;3070;1499.06.00;85;1;0
