DailyStep;steps;duration [s];distance [m];calories [kcal];floors [min. high three meter];weekDayIndex
2021-08-30 00:00:00 +0000;12500;15967;8584.8;589;18;2
2021-08-31 00:00:00 +0000;20024;20648;14262.2;976;25;3
2021-09-01 00:00:00 +0000;19722;18523;13634.3;933;23;4
2021-09-02 00:00:00 +0000;24635;25614;18035.4;1235;9;5
2021-09-03 00:00:00 +0000;11838;11610;9470.6;648;10;6
